label,selected_policy_id,selected_label,source_welfare,selection_type,scenario,n_ensembles,zaf_mean_abatement_burden_all_years,zaf_worst_abatement_burden_all_years,zaf_mean_damage_burden_all_years,zaf_worst_damage_burden_all_years,zaf_mean_total_burden_all_years,zaf_worst_total_burden_all_years,zaf_mean_consumption_per_capita_all_years,zaf_ecr_mean_end,global_temp_mean_2100,global_temp_p95_2100,fraction_above_threshold_2100,mean_years_above_threshold,evaluated_welfare,zaf_abatement_burden_2050,zaf_damage_burden_2050,zaf_total_burden_2050,zaf_consumption_pc_2050,zaf_ecr_2050,global_temp_mean_2050,zaf_abatement_burden_2100,zaf_damage_burden_2100,zaf_total_burden_2100,zaf_consumption_pc_2100,zaf_ecr_2100
P1_PRIORITARIAN_best_welfare_within_frame__scenario_2,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,15,0.010357992487607244,0.11233226882298697,0.01919135317405654,0.05594736767159511,0.029549345661663787,0.13438770191338684,64.704440952827,0.9749284682149821,2.095050180904304,2.3959244806298985,0.6666666666666666,138.46666666666667,-411.57828526973,0.09259547310928891,0.01596060988144529,0.1085560829907342,15.43829019220073,0.9385471578789918,1.7807447333534063,0.006139598897952865,0.021147375991130552,0.027286974889083417,45.41285357939314,0.9725229944822084
P1_PRIORITARIAN_best_welfare_within_frame__scenario_3,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,15,0.014409926570133265,0.1385933616738236,0.0309370337801081,0.07864286198221684,0.04534696035024137,0.1584599667795545,24.94002515092925,0.9739414670769269,2.4324397372237585,2.6900050821753,0.9333333333333333,230.13333333333333,-493.00513417844735,0.11458807109360677,0.01566786985264557,0.13025594094625237,10.7259533675929,0.9344769277240645,1.7693936126634318,0.010632120132226,0.028616111327019134,0.03924823145924513,21.66185667152158,0.9739414670769269
P1_PRIORITARIAN_best_welfare_within_frame__scenario_4,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,4,15,0.014498045570523229,0.14585871012523566,0.02269762263918386,0.06522762198528088,0.037195668209707086,0.16458584058313994,65.43070340614062,0.9748100534320601,2.1859963447586535,2.4577732280467055,0.8666666666666667,172.8,-498.90358958961616,0.11857611830670317,0.014827868410803174,0.13340398671750636,14.723232852005191,0.9311645822823217,1.7308231560680316,0.010921520867116443,0.023151760816661055,0.034073281683777504,44.444907692611835,0.9734662451742302
P1_PRIORITARIAN_best_welfare_within_frame__scenario_5,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,5,15,0.01482102419728451,0.14571174746825274,0.02442061561518451,0.06709671427927527,0.03924163981246902,0.16541198013891717,65.24252380893324,0.9740010289056998,2.291042873762349,2.5778810618408166,0.9333333333333333,189.8,-499.3144219850181,0.12303496372799781,0.01613601382693185,0.13917097755492963,14.61593957701853,0.9383056195199472,1.7907305254091372,0.010950910952786698,0.025557762455778302,0.036508673408565,44.27420092288904,0.973755277905265
P1_PRIORITARIAN_best_welfare_within_frame__scenario_6,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,6,15,0.012704313792401055,0.1276518190982154,0.021719697445819183,0.07149468254550445,0.03442401123822023,0.1509507446251916,121.07312102123448,0.9717073357761321,2.0460254590331677,2.438230093053925,0.4666666666666667,145.33333333333334,-378.59894582515017,0.11184775246751147,0.020478416755285302,0.13232616922279677,22.621237170391495,0.946822783251876,1.9835729926819108,0.008283434453783683,0.020094415395972304,0.02837784984975599,79.32781087070538,0.9702855743152494
P1_PRIORITARIAN_best_welfare_within_frame__scenario_7,1,P1_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,7,15,0.012648353321035907,0.12737699467513977,0.033439584070029144,0.08632197269003306,0.04608793739106505,0.150983256367275,118.5790888337838,0.9669398718703864,2.6713771400833246,3.1524411190325337,0.9333333333333333,223.73333333333332,-379.1277993583145,0.11176811879428719,0.020767232022757324,0.1325353508170445,22.615495104861225,0.9467553720464876,2.002864759466626,0.00819339022463048,0.03423462043668439,0.042428010661314866,77.79353843017769,0.9668970413447217
P2_PRIORITARIAN_best_welfare_within_frame__scenario_0,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,0,15,0.004128048367312857,0.09267571009846103,0.014991870825965405,0.053507707695252156,0.019119919193278264,0.11535824649708638,62.38015034494494,0.9309293318269964,1.7797670004927342,2.0515753117992914,0.26666666666666666,79.46666666666667,-398.61939189866035,0.032077229672310324,0.013725591786352203,0.04580282145866253,20.84752960303653,0.730373102176819,1.6723147206775606,0.0025516578872763207,0.014100631917178318,0.016652289804454636,50.19923532079297,0.8438668251973124
P2_PRIORITARIAN_best_welfare_within_frame__scenario_1,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,1,15,0.004110135032706427,0.07402171204783853,0.015005367697820904,0.05326629835080486,0.01911550273052733,0.09466051865374289,62.380639084398304,0.9309997537188387,1.7917049680031654,2.055399819228748,0.26666666666666666,80.53333333333333,-398.6203149343992,0.031009486779237854,0.013891478197696754,0.044900964976934604,20.871586588397715,0.730445890364107,1.6812098241261673,0.002591153997233685,0.014358788637313429,0.016949942634547115,50.17593852053415,0.849733583877338
P2_PRIORITARIAN_best_welfare_within_frame__scenario_2,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,2,15,0.007218080589482211,0.10559360099820143,0.0192661731669109,0.05618230127304444,0.02648425375639311,0.12680952264083434,64.79400805869302,0.9819765451260095,2.1008055275477955,2.3897483868626495,0.7333333333333333,140.73333333333332,-411.5652616320848,0.04642179704089259,0.01594956380419047,0.06237136084508306,16.39759557511318,0.7819605270033045,1.7802873662025285,0.006049894387068409,0.021275466652938647,0.027325361040007053,45.46586931001752,0.9645339542665262
P2_PRIORITARIAN_best_welfare_within_frame__scenario_3,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,3,15,0.0103150610682746,0.13578709379766868,0.030809848922610406,0.07762782774963037,0.04112490999088501,0.15746700225129817,25.025996141277293,0.9812118551382394,2.4348589360695043,2.686777166459176,0.9333333333333333,230.46666666666667,-493.0388196064321,0.05329222392559714,0.015657839429711138,0.06895006335530827,11.62457987728698,0.7660289405181496,1.7689756302988793,0.01101154150082082,0.028672094310099348,0.039683635810920166,21.677343947824856,0.9812118551382394
