selected_label,source_welfare,selection_type,scenario,zaf_mean_abatement_burden_all_years,zaf_worst_abatement_burden_all_years,zaf_mean_damage_burden_all_years,zaf_worst_damage_burden_all_years,zaf_mean_total_burden_all_years,zaf_worst_total_burden_all_years,zaf_abatement_burden_2050,zaf_damage_burden_2050,zaf_total_burden_2050,zaf_ecr_2050,zaf_abatement_burden_2100,zaf_damage_burden_2100,zaf_total_burden_2100,zaf_ecr_2100
P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,7,1.0885599619348493e-06,8.212015451312984e-06,0.11503755288370361,0.2684052218246497,0.11503864144366556,0.2684073605806868,7.188253125100708e-07,0.02530516721225634,0.025305886037568847,0.011007582680569295,6.803382726351387e-07,0.07568645654559829,0.07568713688387094,0.03976919244618462
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,0,0.0004805362278618038,0.005449413894399178,0.02921934883142647,0.0793056701362924,0.02969988505928827,0.07930804015331641,0.003201827598099841,0.01519109737810232,0.018392924976202162,0.464750828565156,0.0001366564580231351,0.024388561731759236,0.02452521818978237,0.46483063866776464
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,1,0.000480746675706282,0.005448550225448938,0.029302638613871404,0.078977461138031,0.02978338528957768,0.07897983067965296,0.003204443830921709,0.015350029648019712,0.018554473478941423,0.4648467914438101,0.00013671867585971975,0.024701947504805165,0.024838666180664885,0.46486711643135525
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,2,0.0005707542060277688,0.005925902713810514,0.060517333443124655,0.15013626970093463,0.061088087649152426,0.1501443698682125,0.0036633932495726607,0.017729699857002606,0.02139309310657526,0.46484029204867877,0.00020914755204954648,0.04082048961636741,0.04102963716841696,0.46484885660132963
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,3,0.0007441838930326918,0.0068327669906691,0.07154953093306585,0.16932392246077044,0.07229371482609853,0.1693374390282348,0.004617517114516347,0.017511751701960936,0.022129268816477286,0.46478873142947535,0.0003578711073212335,0.047813069955578096,0.048170941062899326,0.46479279824957215
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,4,0.0007635068052723459,0.007031174342542278,0.046858420048756684,0.10947867416998816,0.04762192685402904,0.10948496570931308,0.004854231290549046,0.01647550314562234,0.021329734436171387,0.4648868991755584,0.00036794355343146935,0.03769618644660109,0.038064130000032545,0.46489698886007347
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,5,0.0007630025861839035,0.007030979807513888,0.04894498691940391,0.11194190701942303,0.0497079895055878,0.11194820578918065,0.004851388184413291,0.017810062083863168,0.02266145026827646,0.46478169303355676,0.0003680572697813564,0.04065556823886564,0.041023625508647,0.4647877749658178
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,6,0.0006605815001078832,0.006405395577212305,0.08886075257486634,0.22605480244964554,0.08952133407497424,0.2260636499115307,0.004204876999240879,0.022998686168461714,0.027203563167702595,0.4643231066508107,0.0002842926029313431,0.05115715124797815,0.0514414438509095,0.4643231066508107
P4_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,7,0.0006612544783407273,0.006405398766396148,0.09908891803776838,0.23428880008861347,0.09975017251610911,0.23429808426057266,0.004204986970157365,0.023303031748866065,0.02750801871902343,0.4643248977215279,0.0002857938703667077,0.06579823180859949,0.06608402567896622,0.4643248977215279
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,0,1.4939026625898065e-06,5.580892010246301e-05,0.034094541565843156,0.08768648988219008,0.034096035468505745,0.08768649619156516,6.611106763520738e-06,0.016165568800218598,0.01617217990698212,0.038326811887624525,2.825704781501627e-07,0.028019757292705078,0.028020039863183226,0.038326811887624525
