rho,eta,delta,ecs_ensemble,ecr_plateau,scenario,policy,model
0.012322123716585337,1.2093215137720108,1.3269920833408833,510.3789371121675,0.4,29,moderate_abatement,JUSTICE_GSA
0.027808816264383494,1.4860865352675319,0.8742200862616301,265.44464130233973,0.4,30,moderate_abatement,JUSTICE_GSA
0.024870557455345988,1.4860865352675319,0.8742200862616301,265.44464130233973,0.4,31,moderate_abatement,JUSTICE_GSA
0.027808816264383494,0.6650996832177043,0.8742200862616301,265.44464130233973,0.4,32,moderate_abatement,JUSTICE_GSA
0.027808816264383494,1.4860865352675319,0.715629393234849,265.44464130233973,0.4,33,moderate_abatement,JUSTICE_GSA
0.027808816264383494,1.4860865352675319,0.8742200862616301,158.73768435418606,0.4,34,moderate_abatement,JUSTICE_GSA
0.027808816264383494,0.6650996832177043,0.715629393234849,158.73768435418606,0.4,35,moderate_abatement,JUSTICE_GSA
0.024870557455345988,1.4860865352675319,0.715629393234849,158.73768435418606,0.4,36,moderate_abatement,JUSTICE_GSA
0.024870557455345988,0.6650996832177043,0.8742200862616301,158.73768435418606,0.4,37,moderate_abatement,JUSTICE_GSA
0.024870557455345988,0.6650996832177043,0.715629393234849,265.44464130233973,0.4,38,moderate_abatement,JUSTICE_GSA
0.024870557455345988,0.6650996832177043,0.715629393234849,158.73768435418606,0.4,39,moderate_abatement,JUSTICE_GSA
0.023301339072175322,0.5632672291249037,1.0339637226425111,487.25576515868306,0.4,40,moderate_abatement,JUSTICE_GSA
0.028653121549636125,0.5632672291249037,1.0339637226425111,487.25576515868306,0.4,41,moderate_abatement,JUSTICE_GSA
0.023301339072175322,0.7998679531738162,1.0339637226425111,487.25576515868306,0.4,42,moderate_abatement,JUSTICE_GSA
0.023301339072175322,0.5632672291249037,1.4850722863338888,487.25576515868306,0.4,43,moderate_abatement,JUSTICE_GSA
0.023301339072175322,0.5632672291249037,1.0339637226425111,742.7516977824271,0.4,44,moderate_abatement,JUSTICE_GSA
0.023301339072175322,0.7998679531738162,1.4850722863338888,742.7516977824271,0.4,45,moderate_abatement,JUSTICE_GSA
0.028653121549636125,0.5632672291249037,1.4850722863338888,742.7516977824271,0.4,46,moderate_abatement,JUSTICE_GSA
0.028653121549636125,0.7998679531738162,1.0339637226425111,742.7516977824271,0.4,47,moderate_abatement,JUSTICE_GSA
0.028653121549636125,0.7998679531738162,1.4850722863338888,487.25576515868306,0.4,48,moderate_abatement,JUSTICE_GSA
0.028653121549636125,0.7998679531738162,1.4850722863338888,742.7516977824271,0.4,49,moderate_abatement,JUSTICE_GSA
0.006026294127106666,1.3021178748458624,1.8242158945649862,708.7052905941382,0.4,50,moderate_abatement,JUSTICE_GSA
0.008854640276171267,1.3021178748458624,1.8242158945649862,708.7052905941382,0.4,51,moderate_abatement,JUSTICE_GSA
0.006026294127106666,1.324489839375019,1.8242158945649862,708.7052905941382,0.4,52,moderate_abatement,JUSTICE_GSA
0.006026294127106666,1.3021178748458624,0.5113839278928936,708.7052905941382,0.4,53,moderate_abatement,JUSTICE_GSA
0.006026294127106666,1.3021178748458624,1.8242158945649862,82.82463750056922,0.4,54,moderate_abatement,JUSTICE_GSA
0.006026294127106666,1.324489839375019,0.5113839278928936,82.82463750056922,0.4,55,moderate_abatement,JUSTICE_GSA
0.008854640276171267,1.3021178748458624,0.5113839278928936,82.82463750056922,0.4,56,moderate_abatement,JUSTICE_GSA
0.008854640276171267,1.324489839375019,1.8242158945649862,82.82463750056922,0.4,57,moderate_abatement,JUSTICE_GSA
0.008854640276171267,1.324489839375019,0.5113839278928936,708.7052905941382,0.4,58,moderate_abatement,JUSTICE_GSA
0.008854640276171267,1.324489839375019,0.5113839278928936,82.82463750056922,0.4,59,moderate_abatement,JUSTICE_GSA
0.01494989275187254,0.9733201302587986,0.5557529106736183,76.24922106880695,0.4,60,moderate_abatement,JUSTICE_GSA
0.00743376549705863,0.9733201302587986,0.5557529106736183,76.24922106880695,0.4,61,moderate_abatement,JUSTICE_GSA
0.01494989275187254,1.0191646059975028,0.5557529106736183,76.24922106880695,0.4,62,moderate_abatement,JUSTICE_GSA
0.01494989275187254,0.9733201302587986,1.866810197941959,76.24922106880695,0.4,63,moderate_abatement,JUSTICE_GSA
0.01494989275187254,0.9733201302587986,0.5557529106736183,454.7825174620375,0.4,64,moderate_abatement,JUSTICE_GSA
0.01494989275187254,1.0191646059975028,1.866810197941959,454.7825174620375,0.4,65,moderate_abatement,JUSTICE_GSA
0.00743376549705863,0.9733201302587986,1.866810197941959,454.7825174620375,0.4,66,moderate_abatement,JUSTICE_GSA
0.00743376549705863,1.0191646059975028,0.5557529106736183,454.7825174620375,0.4,67,moderate_abatement,JUSTICE_GSA
0.00743376549705863,1.0191646059975028,1.866810197941959,76.24922106880695,0.4,68,moderate_abatement,JUSTICE_GSA
0.00743376549705863,1.0191646059975028,1.866810197941959,454.7825174620375,0.4,69,moderate_abatement,JUSTICE_GSA
0.017726514120586217,1.14182073995471,1.5509619968943298,853.8113069161773,0.4,70,moderate_abatement,JUSTICE_GSA
0.016576709368266163,1.14182073995471,1.5509619968943298,853.8113069161773,0.4,71,moderate_abatement,JUSTICE_GSA
0.017726514120586217,0.6062332354485989,1.5509619968943298,853.8113069161773,0.4,72,moderate_abatement,JUSTICE_GSA
0.017726514120586217,1.14182073995471,0.8789354572072625,853.8113069161773,0.4,73,moderate_abatement,JUSTICE_GSA
0.017726514120586217,1.14182073995471,1.5509619968943298,869.9283024528995,0.4,74,moderate_abatement,JUSTICE_GSA
0.017726514120586217,0.6062332354485989,0.8789354572072625,869.9283024528995,0.4,75,moderate_abatement,JUSTICE_GSA
0.016576709368266163,1.14182073995471,0.8789354572072625,869.9283024528995,0.4,76,moderate_abatement,JUSTICE_GSA
0.016576709368266163,0.6062332354485989,1.5509619968943298,869.9283024528995,0.4,77,moderate_abatement,JUSTICE_GSA
0.016576709368266163,0.6062332354485989,0.8789354572072625,853.8113069161773,0.4,78,moderate_abatement,JUSTICE_GSA
0.016576709368266163,0.6062332354485989,0.8789354572072625,869.9283024528995,0.4,79,moderate_abatement,JUSTICE_GSA
0.016767131448723376,0.7051575938239694,0.6712917671538889,634.0850084293634,0.4,80,moderate_abatement,JUSTICE_GSA
0.0016435458920896053,0.7051575938239694,0.6712917671538889,634.0850084293634,0.4,81,moderate_abatement,JUSTICE_GSA
0.016767131448723376,0.728833818808198,0.6712917671538889,634.0850084293634,0.4,82,moderate_abatement,JUSTICE_GSA
0.016767131448723376,0.7051575938239694,1.5359604563564062,634.0850084293634,0.4,83,moderate_abatement,JUSTICE_GSA
0.016767131448723376,0.7051575938239694,0.6712917671538889,667.8117201579735,0.4,84,moderate_abatement,JUSTICE_GSA
0.016767131448723376,0.728833818808198,1.5359604563564062,667.8117201579735,0.4,85,moderate_abatement,JUSTICE_GSA
0.0016435458920896053,0.7051575938239694,1.5359604563564062,667.8117201579735,0.4,86,moderate_abatement,JUSTICE_GSA
0.0016435458920896053,0.728833818808198,0.6712917671538889,667.8117201579735,0.4,87,moderate_abatement,JUSTICE_GSA
0.0016435458920896053,0.728833818808198,1.5359604563564062,634.0850084293634,0.4,88,moderate_abatement,JUSTICE_GSA
0.0016435458920896053,0.728833818808198,1.5359604563564062,667.8117201579735,0.4,89,moderate_abatement,JUSTICE_GSA
0.0122912913300097,1.4135881895199418,1.4837572677060962,422.3741952581331,0.4,90,moderate_abatement,JUSTICE_GSA
0.02149153331760317,1.4135881895199418,1.4837572677060962,422.3741952581331,0.4,91,moderate_abatement,JUSTICE_GSA
0.0122912913300097,1.1455265963450074,1.4837572677060962,422.3741952581331,0.4,92,moderate_abatement,JUSTICE_GSA
0.0122912913300097,1.4135881895199418,0.6472830921411514,422.3741952581331,0.4,93,moderate_abatement,JUSTICE_GSA
0.0122912913300097,1.4135881895199418,1.4837572677060962,1.9165200488641858,0.4,94,moderate_abatement,JUSTICE_GSA
0.0122912913300097,1.1455265963450074,0.6472830921411514,1.9165200488641858,0.4,95,moderate_abatement,JUSTICE_GSA
0.02149153331760317,1.4135881895199418,0.6472830921411514,1.9165200488641858,0.4,96,moderate_abatement,JUSTICE_GSA
0.02149153331760317,1.1455265963450074,1.4837572677060962,1.9165200488641858,0.4,97,moderate_abatement,JUSTICE_GSA
0.02149153331760317,1.1455265963450074,0.6472830921411514,422.3741952581331,0.4,98,moderate_abatement,JUSTICE_GSA
0.02149153331760317,1.1455265963450074,0.6472830921411514,1.9165200488641858,0.4,99,moderate_abatement,JUSTICE_GSA
0.006985619973391294,0.8656759662553668,0.9663927936926484,804.5200576027855,0.4,100,moderate_abatement,JUSTICE_GSA
0.02382307877019048,0.8656759662553668,0.9663927936926484,804.5200576027855,0.4,101,moderate_abatement,JUSTICE_GSA
0.006985619973391294,1.4481053184717894,0.9663927936926484,804.5200576027855,0.4,102,moderate_abatement,JUSTICE_GSA
0.006985619973391294,0.8656759662553668,1.9155744188465178,804.5200576027855,0.4,103,moderate_abatement,JUSTICE_GSA
0.006985619973391294,0.8656759662553668,0.9663927936926484,377.62475318461657,0.4,104,moderate_abatement,JUSTICE_GSA
0.006985619973391294,1.4481053184717894,1.9155744188465178,377.62475318461657,0.4,105,moderate_abatement,JUSTICE_GSA
0.02382307877019048,0.8656759662553668,1.9155744188465178,377.62475318461657,0.4,106,moderate_abatement,JUSTICE_GSA
